Rk,Year,Region,Round,PTS,OPTS,OT?,Diff,Seed,School,OpponentSeed,Opponent,
85,2011,East,First Round,66,55,,11,11,Marquette,6 ,Xavier,
86,2011,Southwest,First Round,73,62,,11,9 ,Illinois,8 ,UNLV,
87,2011,Southwest,First Round,57,50,,7,10,Florida State,7 ,Texas A&M,
88,2011,Southwest,First Round,69,66,,3,12,Richmond,5 ,Vanderbilt,
89,2011,Southwest,First Round,62,61,,1,13,Morehead State,4 ,Louisville,
90,2011,Southeast,First Round,86,71,,15,11,Gonzaga,6 ,St. John's (NY),
91,2010,East,First Round,86,78,,8,10,Missouri,7 ,Clemson,
92,2010,Midwest,First Round,64,59,,5,10,Georgia Tech,7 ,Oklahoma State,
93,2010,East,First Round,78,65,,13,12,Cornell,5 ,Temple,
94,2010,East,First Round,80,78,,2,11,Washington,6 ,Marquette,
95,2010,East,First Round,81,80,OT,1,9 ,Wake Forest,8 ,Texas,
96,2010,South,First Round,80,71,,9,10,Saint Mary's,7 ,Richmond,
97,2010,South,First Round,51,50,,1,11,Old Dominion,6 ,Notre Dame,
98,2010,Midwest,First Round,97,83,,14,14,Ohio,3 ,Georgetown,
99,2010,Midwest,First Round,69,66,,3,9 ,Northern Iowa,8 ,UNLV,
100,2010,West,First Round,66,65,,1,13,Murray State,4 ,Vanderbilt,
101,2009,Midwest,First Round,84,71,,13,12,Arizona,5 ,Utah,
102,2009,Midwest,First Round,84,69,,15,13,Cleveland State,4 ,Wake Forest,
103,2009,Midwest,First Round,68,60,,8,11,Dayton,6 ,West Virginia,
104,2009,Midwest,First Round,72,55,,17,10,USC,7 ,Boston College,
105,2009,East,First Round,61,59,OT,2,12,Wisconsin,5 ,Florida State,
106,2009,Midwest,First Round,74,72,2OT,2,9 ,Siena,8 ,Ohio State,
107,2009,West,First Round,79,66,,13,9 ,Texas A&M,8 ,BYU,
108,2009,West,First Round,84,71,,13,10,Maryland,7 ,California,
109,2009,South,First Round,62,59,,3,10,Michigan,7 ,Clemson,
110,2009,South,First Round,76,72,,4,12,Western Kentucky,5 ,Illinois,
