Year,Round,Seed,School,OpponentSeed,Opponent
1997,National Final,4,Arizona,1,Kentucky
1988,National Final,6,Kansas,1,Oklahoma
1985,National Final,8,Villanova,1,Georgetown
2006,National Final,3,Florida,2,UCLA
2003,National Final,3,Syracuse,2,Kansas
2016,National Final,2,Villanova,1,UNC
1986,National Final,2,Louisville,1,Duke
