Year,Round,Seed,School,OpponentSeed,Opponent
1988,Second Round,6,Villanova,3,Illinois
1987,Second Round,6,Florida,3,Purdue
1987,Second Round,6,Oklahoma,3,Pitt
2022,Second Round,5,Houston,4,Illinois
2019,Second Round,5,Auburn,4,Kansas
2018,Second Round,5,Clemson,4,Auburn
2016,Second Round,5,Indiana,4,Kentucky
2015,Second Round,5,West Virginia,4,Maryland
2015,Second Round,5,Utah,4,Georgetown
2011,Second Round,5,Arizona,4,Texas
2010,Second Round,5,Michigan State,4,Maryland
2009,Second Round,5,Purdue,4,Washington
2008,Second Round,5,Michigan State,4,Pitt
2007,Second Round,5,Tennessee,4,Virginia
2007,Second Round,5,USC,4,Texas
2007,Second Round,5,Butler,4,Maryland
2006,Second Round,5,Washington,4,Illinois
2005,Second Round,5,Villanova,4,Florida
2004,Second Round,5,Illinois,4,Cincinnati
2004,Second Round,5,Syracuse,4,Maryland
2003,Second Round,5,Notre Dame,4,Illinois
2003,Second Round,5,UConn,4,Stanford
2000,Second Round,5,Florida,4,Illinois
1999,Second Round,5,Iowa,4,Arkansas
1998,Second Round,5,Syracuse,4,New Mexico
1997,Second Round,5,California,4,Villanova
1995,Second Round,5,Mississippi State,4,Utah
1994,Second Round,5,Indiana,4,Temple
1993,Second Round,5,Wake Forest,4,Iowa
1990,Second Round,5,Clemson,4,La Salle
1989,Second Round,5,NC State,4,Iowa
1988,Second Round,5,Iowa,4,UNLV
1988,Second Round,5,Louisville,4,BYU
1987,Second Round,5,Notre Dame,4,TCU
1986,Second Round,5,Alabama,4,Illinois
1986,Second Round,5,Michigan State,4,Georgetown
1985,Second Round,5,Louisiana Tech,4,Ohio State
