Year,Round,Seed,School,OpponentSeed,Opponent
2007,First Round,9 ,Purdue,8 ,Arizona
2007,First Round,9 ,Xavier,8 ,BYU
2007,First Round,11,VCU,6 ,Duke
2007,First Round,9 ,Michigan State,8 ,Marquette
2006,First Round,13,Bradley,4 ,Kansas
2006,First Round,9 ,Bucknell,8 ,Arkansas
2006,First Round,11,George Mason,6 ,Michigan State
2006,First Round,10,NC State,7 ,California
2006,First Round,14,Northwestern State,3 ,Iowa
2006,First Round,10,Alabama,7 ,Marquette
2006,First Round,12,Texas A&M,5 ,Syracuse
2006,First Round,11,Milwaukee,6 ,Oklahoma
2006,First Round,12,Montana,5 ,Nevada
2005,First Round,14,Bucknell,3 ,Kansas
2005,First Round,13,Vermont,4 ,Syracuse
2005,First Round,9 ,Iowa State,8 ,Minnesota
2005,First Round,9 ,Mississippi State,8 ,Stanford
2005,First Round,10,NC State,7 ,Charlotte
2005,First Round,11,11 Alabama-Birmingham,6 ,LSU
2005,First Round,12,Milwaukee,5 ,Alabama
2005,First Round,9 ,Nevada,8 ,Texas
2004,First Round,9 ,Alabama-Birmingham,8 ,Washington
2004,First Round,12,Pacific,5 ,Providence
2004,First Round,12,Manhattan,5 ,Florida
2004,First Round,10,Nevada,7 ,Michigan State
2003,First Round,10,Auburn,7 ,St. Joseph's
2003,First Round,12,Butler,5 ,Mississippi State
2003,First Round,9 ,Utah,8 ,Oregon
2003,First Round,9 ,Purdue,8 ,LSU
2003,First Round,10,Arizona State,7 ,Memphis
2003,First Round,11,Central Michigan,6 ,Creighton
2003,First Round,9 ,Gonzaga,8 ,Cincinnati
2003,First Round,13,Tulsa,4 ,Dayton
2002,First Round,12,Creighton,5 ,Florida
2002,First Round,11,Southern Illinois,6 ,Texas Tech
2002,First Round,10,Kent State,7 ,Oklahoma State
2002,First Round,12,Missouri,5 ,Miami (FL)
2002,First Round,11,Wyoming,6 ,Gonzaga
2002,First Round,12,Tulsa,5 ,Marquette
2002,First Round,13,UNC Wilmington,4 ,USC
2001,First Round,11,Temple,6 ,Texas
2001,First Round,10,Butler,7 ,Wake Forest
2001,First Round,9 ,Charlotte,8 ,Tennessee
2001,First Round,9 ,Fresno State,8 ,California
2001,First Round,12,Gonzaga,5 ,Virginia
2001,First Round,13,Indiana State,4 ,Oklahoma
2001,First Round,10,Georgetown,7 ,Arkansas
2001,First Round,11,Georgia State,6 ,Wisconsin
2001,First Round,15,Hampton,2 ,Iowa State
2001,First Round,12,Utah State,5 ,Ohio State
2001,First Round,13,Kent State,4 ,Indiana
2001,First Round,9 ,St. Joseph's,8 ,Georgia Tech
2001,First Round,9 ,Missouri,8 ,Georgia
2000,First Round,10,Seton Hall,7 ,Oregon
2000,First Round,11,Pepperdine,6 ,Indiana
2000,First Round,10,Gonzaga,7 ,Louisville
1999,First Round,9 ,Tulsa,8 ,College of Charleston
1999,First Round,10,Miami (OH),7 ,Washington
1999,First Round,9 ,Ole Miss,8 ,Villanova
1999,First Round,12,Missouri State,5 ,Wisconsin
1999,First Round,13,Oklahoma,4 ,Arizona
1999,First Round,10,Purdue,7 ,Texas
1999,First Round,10,Creighton,7 ,Louisville
1999,First Round,14,Weber State,3 ,UNC
1999,First Round,12,Detroit,5 ,UCLA
1999,First Round,10,Gonzaga,7 ,Minnesota
1999,First Round,9 ,New Mexico,8 ,Missouri
1999,First Round,9 ,Oklahoma State,8 ,Syracuse
1998,First Round,10,Saint Louis,7 ,UMass
1998,First Round,10,Detroit,7 ,St. John's (NY)
1998,First Round,12,Florida State,5 ,TCU
1998,First Round,13,Valparaiso,4 ,Ole Miss
1998,First Round,11,Western Michigan,6 ,Clemson
1998,First Round,14,Richmond,3 ,South Carolina
1998,First Round,11,Washington,6 ,Xavier
1998,First Round,9 ,Illinois State,8 ,Tennessee
1998,First Round,10,West Virginia,7 ,Temple
1997,First Round,10,Texas,7 ,Wisconsin
1997,First Round,9 ,Temple,8 ,Ole Miss
1997,First Round,14,Chattanooga,3 ,Georgia
1997,First Round,15,Coppin State,2 ,South Carolina
1997,First Round,10,Texas,7,Wisconsin
1997,First Round,12,College of Charleston,5,Maryland
1997,First Round,9 ,Colorado,8,Indiana
1996,First Round,11,Boston College,6,Indiana
1996,First Round,10,Santa Clara,7,Maryland
1996,First Round,10,Texas,7,Michigan
1996,First Round,12,Arkansas,5,Penn State
1996,First Round,12,Drexel,5,Memphis
1996,First Round,9 ,Eastern Michigan,8,Duke
1996,First Round,13,Princeton,4,UCLA
1996,First Round,9 ,Stanford,8,Bradley
1996,First Round,9 ,Virginia Tech,8,Green Bay
1995,First Round,14,Old Dominion,3,Villanova
1995,First Round,10,Stanford,7,Charlotte
1995,First Round,14,Weber State,3,Michigan State
1995,First Round,13,Manhattan,4,Oklahoma
1995,First Round,12,Miami (OH),5,Arizona
1995,First Round,9 ,Saint Louis,8,Minnesota
1995,First Round,11,Texas,6,Oregon
1995,First Round,9 ,Tulane,8,BYU
1994,First Round,9 ,Boston College,8,Washington State
1994,First Round,9 ,Georgetown,8,Illinois
1994,First Round,12,Tulsa,5,UCLA
1994,First Round,9 ,Alabama,8,Providence
1994,First Round,10,George Washington,7,Alabama-Birmingham
1994,First Round,12,Green Bay,5,California
1994,First Round,10,Maryland,7,Saint Louis
1994,First Round,11,Penn,6,Nebraska
1994,First Round,9 ,Wisconsin,8,Cincinnati
1993,First Round,12,George Washington,5,New Mexico
1993,First Round,13,Southern,4,Georgia Tech
1993,First Round,9 ,UCLA,8,Iowa State
1993,First Round,9 ,Xavier,8,New Orleans
1993,First Round,15,Santa Clara,2,Arizona
1993,First Round,11,Tulane,6,Kansas State
1992,First Round,14,ETSU,3,Arizona
1992,First Round,10,Iowa State,7,Charlotte
1992,First Round,13,Louisiana,4,Oklahoma
1992,First Round,12,New Mexico State,5,DePaul
1992,First Round,9 ,UTEP,8,Evansville
1992,First Round,10,Tulane,7,St. John's (NY)
1992,First Round,9 ,UConn,8,Nebraska
1992,First Round,9 ,Iowa,8,Texas
1991,First Round,12,Eastern Michigan,5,Mississippi State
1991,First Round,13,Penn State,4,UCLA
1991,First Round,9 ,Villanova,8,Princeton
1991,First Round,10,BYU,7,Virginia
1991,First Round,11,UConn,6,LSU
1991,First Round,11,Creighton,6,New Mexico State
1991,First Round,15,Richmond,2,Syracuse
1991,First Round,10,Temple,7,Purdue
1991,First Round,14,Xavier,3,Nebraska
1990,First Round,11,Loyola Marymount,6,New Mexico State
1990,First Round,14,Northern Iowa,3,Missouri
1990,First Round,10,Texas,7,Georgia
1990,First Round,12,Ball State,5,Oregon State
1990,First Round,9 ,California,8,Indiana
1990,First Round,9 ,UCSB,8,Houston
1990,First Round,12,Dayton,5,Illinois
1989,First Round,10,Colorado State,7,Florida
1989,First Round,11,Evansville,6,Oregon State
1989,First Round,9 ,Notre Dame,8,Vanderbilt
1989,First Round,11,South Alabama,6,Alabama
1989,First Round,11,Texas,6,Georgia Tech
1989,First Round,9 ,Ball State,8,Pitt
1989,First Round,9 ,Clemson,8,Saint Mary's
1989,First Round,12,DePaul,5,Memphis
1989,First Round,9 ,Louisiana Tech,8,La Salle
1989,First Round,13,Middle Tennessee,4,Florida State
1989,First Round,11,Minnesota,6,Kansas State
1989,First Round,14,Siena,3,Stanford
1988,First Round,14,Murray State,3,NC State
1988,First Round,13,Richmond,4,Indiana
1988,First Round,10,Loyola Marymount,7,Wyoming
1988,First Round,9 ,Memphis,8,Baylor
1988,First Round,11,Rhode Island,6,Missouri
1987,First Round,10,LSU,7,Georgia Tech
1987,First Round,13,Missouri State,4,Clemson
1987,First Round,9 ,Ohio State,8,Kentucky
1987,First Round,10,Western Kentucky,7,West Virginia
1987,First Round,14,Austin Peay,3,Illinois
1987,First Round,9 ,Kansas State,8,Georgia
1987,First Round,9 ,Michigan,8,Navy
1987,First Round,12,Wyoming,5,Virginia
1987,First Round,13,Xavier,4,Missouri
1986,First Round,14,Little Rock,3,Notre Dame
1986,First Round,14,Cleveland State,3,Indiana
1986,First Round,12,DePaul,5,Virginia
1986,First Round,11,LSU,6,Purdue
1986,First Round,9 ,Temple,8,Jacksonville
1986,First Round,10,Villanova,7,Virginia Tech
1985,First Round,11,Boston College,6,Texas Tech
1985,First Round,13,Navy,4,LSU
1985,First Round,11,UTEP,6,Tulsa
1985,First Round,9 ,Arkansas,8,Iowa
1985,First Round,11,Auburn,6,Purdue
1985,First Round,9 ,Illinois State,8,USC
1985,First Round,12,Kentucky,5,Washington
