Year,Round,PTS,OPTS,Diff,Seed,School,OpponentSeed,Opponent
1997,National Final,84,79,5,4,Arizona,1,Kentucky
1988,National Final,83,79,4,6,Kansas,1,Oklahoma
1985,National Final,66,64,2,8,Villanova,1,Georgetown
2006,National Final,73,57,16,3,Florida,2,UCLA
2003,National Final,81,78,3,3,Syracuse,2,Kansas
2016,National Final,77,74,3,2,Villanova,1,UNC
1986,National Final,72,69,3,2,Louisville,1,Duke
