Year,Round,PTS,OPTS,Diff,Seed,School,OpponentSeed,Opponent
2010,Second Round,71,68,3,6,Xavier,3,Pitt
2007,Second Round,78,74,4,6,Vanderbilt,3,Washington State
2005,Second Round,67,58,9,6,Utah,3,Oklahoma
2005,Second Round,71,69,2,6,Texas Tech,3,Gonzaga
2004,Second Round,75,73,2,6,Vanderbilt,3,NC State
2003,Second Round,77,64,13,6,Maryland,3,Xavier
2002,Second Round,68,64,4,6,Texas,3,Mississippi State
2001,Second Round,74,71,3,6,USC,3,Boston College
2000,Second Round,75,62,13,6,Miami (FL),3,Ohio State
2000,Second Round,105,70,35,6,UCLA,3,Maryland
2000,Second Round,66,62,4,6,Purdue,3,Oklahoma
1999,Second Round,64,54,10,6,Temple,3,Cincinnati
1998,Second Round,85,82,3,6,UCLA,3,Michigan
1997,Second Round,72,66,6,6,Stanford,3,Wake Forest
1997,Second Round,64,63,1,6,Louisville,3,New Mexico
1997,Second Round,67,66,1,6,Iowa State,3,Cincinnati
1996,Second Round,68,64,4,6,Louisville,3,Villanova
1995,Second Round,75,73,2,6,Memphis,3,Purdue
1994,Second Round,75,63,12,6,Marquette,3,Kentucky
1993,Second Round,71,56,15,6,Virginia,3,UMass
1993,Second Round,82,77,5,6,California,3,Duke
1992,Second Round,82,80,2,6,Memphis,3,Arkansas
1990,Second Round,74,71,3,6,Xavier,3,Georgetown
1988,Second Round,66,63,3,6,Villanova,3,Illinois
1987,Second Round,85,66,19,6,Florida,3,Purdue
1987,Second Round,96,93,3,6,Oklahoma,3,Pitt
2019,Second Round,89,75,14,5,Auburn,4,Kansas
2018,Second Round,84,53,31,5,Clemson,4,Auburn
2016,Second Round,73,67,6,5,Indiana,4,Kentucky
2015,Second Round,69,59,10,5,West Virginia,4,Maryland
2015,Second Round,75,64,11,5,Utah,4,Georgetown
2011,Second Round,70,69,1,5,Arizona,4,Texas
2010,Second Round,85,83,2,5,Michigan State,4,Maryland
2009,Second Round,76,74,2,5,Purdue,4,Washington
2008,Second Round,65,54,11,5,Michigan State,4,Pitt
2007,Second Round,77,74,3,5,Tennessee,4,Virginia
2007,Second Round,87,68,19,5,USC,4,Texas
2007,Second Round,62,59,3,5,Butler,4,Maryland
2006,Second Round,67,64,3,5,Washington,4,Illinois
2005,Second Round,76,65,11,5,Villanova,4,Florida
2004,Second Round,92,68,24,5,Illinois,4,Cincinnati
2004,Second Round,72,70,2,5,Syracuse,4,Maryland
2003,Second Round,68,60,8,5,Notre Dame,4,Illinois
2003,Second Round,85,74,11,5,UConn,4,Stanford
2000,Second Round,93,76,17,5,Florida,4,Illinois
1999,Second Round,82,72,10,5,Iowa,4,Arkansas
1998,Second Round,56,46,10,5,Syracuse,4,New Mexico
1997,Second Round,75,68,7,5,California,4,Villanova
1995,Second Round,78,64,14,5,Mississippi State,4,Utah
1994,Second Round,67,58,9,5,Indiana,4,Temple
1993,Second Round,84,78,6,5,Wake Forest,4,Iowa
1990,Second Round,79,75,4,5,Clemson,4,La Salle
1989,Second Round,102,96,6,5,NC State,4,Iowa
1988,Second Round,104,86,18,5,Iowa,4,UNLV
1988,Second Round,97,76,21,5,Louisville,4,BYU
1987,Second Round,58,57,1,5,Notre Dame,4,TCU
1986,Second Round,58,56,2,5,Alabama,4,Illinois
1986,Second Round,80,68,12,5,Michigan State,4,Georgetown
1985,Second Round,79,67,12,5,Louisiana Tech,4,Ohio State
