Year,Round,PTS,OPTS,Diff,Seed,School,OpponentSeed,Opponent
2016,First Round,68,52,16,11,Gonzaga,6 ,Seton Hall
2016,First Round,74,67,7,9 ,UConn,8 ,Colorado
2016,First Round,71,61,10,9 ,Butler,8 ,Texas Tech
2016,First Round,85,83,2,12,Little Rock,5 ,Purdue
2015,First Round,66,53,13,11,Dayton,6 ,Providence
2015,First Round,60,59,1,11,UCLA,6 ,SMU
2015,First Round,75,72,3,10,Ohio State,7 ,VCU
2015,First Round,57,56,1,14,Georgia State,3 ,Baylor
2015,First Round,60,59,1,14,Alabama-Birmingham,3 ,Iowa State
2014,First Round,86,67,19,11,Tennessee,6 ,UMass
2014,First Round,77,75,2,12,Stephen F. Austin,5 ,VCU
2014,First Round,58,53,5,10,Stanford,7 ,New Mexico
2014,First Round,78,71,7,14,Mercer,3 ,Duke
2014,First Round,77,48,29,9 ,Pitt,8 ,Colorado
2014,First Round,80,75,5,12,North Dakota State,5 ,Oklahoma
2014,First Round,61,57,4,12,Harvard,5 ,Cincinnati
2014,First Round,60,59,1,11,Dayton,6 ,Ohio State
2013,First Round,76,72,4,9 ,Temple,8 ,NC State
2013,First Round,57,46,11,12,Ole Miss,5 ,Wisconsin
2013,First Round,83,63,20,11,Minnesota,6 ,UCLA
2013,First Round,63,61,2,13,La Salle,4 ,Kansas State
2013,First Round,76,58,18,10,Iowa State,7 ,Notre Dame
2013,First Round,78,68,10,15,Florida Gulf Coast,2 ,Georgetown
2013,First Round,73,55,18,9 ,Wichita State,8 ,Pitt
2013,First Round,68,55,13,12,Oregon,5 ,Oklahoma State
2013,First Round,68,62,6,14,Harvard,3 ,New Mexico
2013,First Round,64,61,3,12,California,5 ,UNLV
2012,First Round,67,63,4,10,Xavier,7 ,Notre Dame
2012,First Round,58,44,14,12,South Florida,5 ,Temple
2012,First Round,61,54,7,9 ,Saint Louis,8 ,Memphis
2012,First Round,72,69,3,10,Purdue,7 ,Saint Mary's
2012,First Round,65,60,5,13,Ohio,4 ,Michigan
2012,First Round,79,65,14,11,NC State,6 ,San Diego State
2012,First Round,86,84,2,15,Norfolk State,2 ,Missouri
2012,First Round,75,70,5,15,Lehigh,2 ,Duke
2012,First Round,62,59,3,12,VCU,5 ,Wichita State
2012,First Round,68,64,4,11,Colorado,6 ,UNLV
2011,First Round,74,56,18,11,VCU,6 ,Georgetown
2011,First Round,66,55,11,11,Marquette,6 ,Xavier
2011,First Round,73,62,11,9 ,Illinois,8 ,UNLV
2011,First Round,57,50,7,10,Florida State,7 ,Texas A&M
2011,First Round,69,66,3,12,Richmond,5 ,Vanderbilt
2011,First Round,62,61,1,13,Morehead State,4 ,Louisville
2011,First Round,86,71,15,11,Gonzaga,6 ,St. John's (NY)
2010,First Round,86,78,8,10,Missouri,7 ,Clemson
2010,First Round,64,59,5,10,Georgia Tech,7 ,Oklahoma State
2010,First Round,78,65,13,12,Cornell,5 ,Temple
2010,First Round,80,78,2,11,Washington,6 ,Marquette
2010,First Round,81,80,1,9 ,Wake Forest,8 ,Texas
2010,First Round,80,71,9,10,Saint Mary's,7 ,Richmond
2010,First Round,51,50,1,11,Old Dominion,6 ,Notre Dame
2010,First Round,97,83,14,14,Ohio,3 ,Georgetown
2010,First Round,69,66,3,9 ,Northern Iowa,8 ,UNLV
2010,First Round,66,65,1,13,Murray State,4 ,Vanderbilt
2009,First Round,84,71,13,12,Arizona,5 ,Utah
2009,First Round,84,69,15,13,Cleveland State,4 ,Wake Forest
2009,First Round,68,60,8,11,Dayton,6 ,West Virginia
2009,First Round,72,55,17,10,USC,7 ,Boston College
